seed	step2620	step2625	step2630	step2635	step2640
0	3.27815	3.27776	3.27744	3.27706	3.27671
1	3.27993	3.27957	3.27924	3.27885	3.27850
2	3.27905	3.27867	3.27833	3.27795	3.27760
3	3.27760	3.27719	3.27686	3.27648	3.27608
4	3.27975	3.27938	3.27904	3.27868	3.27832
5	3.27665	3.27626	3.27592	3.27554	3.27518
6	3.28019	3.27981	3.27949	3.27907	3.27873
7	3.27769	3.27734	3.27696	3.27659	3.27624
8	3.28048	3.28007	3.27974	3.27936	3.27898
9	3.27937	3.27898	3.27864	3.27828	3.27790
10	3.27991	3.27954	3.27919	3.27881	3.27847
11	3.27907	3.27870	3.27833	3.27796	3.27758
mean	3.27898667	3.27860583	3.27826500	3.27788583	3.27752417
margin	0.00351029	0.00482954	0.00601022	0.00732369	0.00857654
result	fail	pass	pass	pass	pass
